,sentence1,sentence2
208006,What are the best books for IIT JAM math and what is the best strategy for preparation?,What are the best books for preparing for the IIT JAM Maths exam?
353720,How do I know if I'm pregnant?,How do you know I'd your pregnant?
221132,What are some crazy and hard riddles?,What are the crazy riddles you know?
360995,Do Nazis still exist?,Are there still Nazis?
374244,How do I survive in Phd?,How do I survive PhD?
78074,Why doesn't anyone answer my questions on here?,Why nobody answer my questions in Quora?
282349,Where can I get affordable party photo booth services in Sydney?,Where can I find affordable photo booth service in Sydney?
32607,Can we time travel anyhow?,Will time travel ever become possable?
123956,"What are some things that impress people, but are easy to learn?",What is something that looks impressive but is easy to learn?
156525,How can I write a story/script for a movie?,How do I write a movie?
205129,What are some examples of social change?,What are some examples of major social changes?
331297,What is the best remedy or treatment for migraine relief?,Is there any permanent treatment for heavy migraine head ache?
375477,Why are so many Quora users posting questions that are readily answered on Google?,Why do people write questions on Quora that could be answered with a quick web search?
66781,How can I become a valuable person?,How do I become a valuable person?
77091,What does it mean by 'moment' of a random variable?,What does a 'moment' mean?
115097,What is the difference between revolution and rotation?,What are the differences between revolution and rotation?
303677,Does honey go bad?,Why does honey never rot?
287609,How does stress affect your body?,How does stress affect the body?
179385,How do you buy a car at an auctions?,How do you buy a car at an auction?
309584,Are wrist watches allowed in JEE Mains? Are wall clocks ensured in every center?,Are wrist watches allowed in JEE Main ? Are wall clocks ensured in every center ?
344267,What is the easiest way to learn how to draw?,How can I learn to draw?
34306,What is the best time to start preparation for GRE?,When is the best time to start preparing for the GRE?
317079,How do I burn my calories?,What are good ways to burn calories?
87197,What is mean by li-fi?,What is Li-Fi? And what are the pros and cons of it?
226579,Which are some of the coolest VLSI startups in Silicon Valley?,What are the VLSI startups in California?
63851,How do I get through high-school that I don't like?,How can I get through high school successfully?
238041,How can I develop an American accent?,How can I develop a near perfect American Accent as a non-American?
61648,Which is the best digital media course in India?,Which is the best digital marketing course in india?
85807,Why is Autism painful?,Why is Autism sensory issues painful?
203,Why do people hate Hillary Clinton?,What are the reasons that people dislike Hillary Clinton?
77003,Should women wear makeup?,Is it important for women to wear makeup?
86206,Is congress killed Lal Bahadur shatri?,Who killed Lal Bahadur Shatri?
119080,Why babies are fat although they are drinking only milk?,Why are babies fat although they are drinking only milk?
200411,What is TDC?,What is a TDC?
89057,What are most intelligent people today?,Who is the most intelligent people?
40853,"What are the best books, topics, and ways to prepare for UGC NET English literature?",What is the best preparation strategy for ugc net english literature?
150237,What are some things I can do to become more self-aware?,How can I become more self-aware?
367963,How can I lose my weight quickly without doing exercise?,How do I lose weight without doing any sport?
115539,Why the path of planets is elliptical not circular?,Why the orbits of planets are elliptical and not circular?
52332,Is it weird to have a crush on Sonia Gandhi?,Is it weird to have crush on Sonia Gandhi?
356049,How far is Mars from Earth?,"With current technology, how long would it take to reach Mars from Earth?"
161683,What is the best way to deal with a bad parent?,How do I deal with bad parenting?
83154,Where is good apartment near Deloitte Chicago?,Where is good apartment near deloitt Chicago?
306273,Why did Twitter elect to shutdown Vine rather than sell it?,Why is Twitter killing Vine and not selling it?
107782,"As a Chinese student, how can I learn English well?",How can a Chinese speaker learn English?
109623,Which books would you say are the best you've ever read?,What is one of the greatest books you have ever read?
238343,What is the one thing which you feel to be changed in Quora?,If there was one thing you would like to change about Quora what would it be?
288318,"I am 29 yrs old, Can I still become a medical doctor now? If yes how?",I am 32 years old. Can I become a doctor now?
273800,What are the safety precautions on handling shotguns proposed by the NRA in New Jersey?,What are the safety precautions on handling shotguns proposed by the NRA in Kansas?
219073,What is human right?,What is a human right?
334168,What are the best ways to study more effectively?,How do you study effectively?
1054,How could Quora attract initial users?,When did Quora start and how did it attract users?
19278,Why is gravity still a theory?,Is gravity a law or a theory?
301605,How do I make a girl love me after being friendzoned?,How do I make a girl like me who friendzoned me?
168395,How do I get the PAN card?,How can I get an urgent PAN card no?
44689,How does copyright law work when sampling music?,How does sampling work legally in electronic music?
334220,Who was Lilith in the Bible?,Who was Lilith in the Old Testament?
120856,How will the earth die?,Will the Earth ever die?
186723,What is the most probable cutoff for KVPY SA 2016?,What is the expected cutoff for KVPY SA 2016 -17?
29196,How do I study the bible?,How can I study the Bible?
80963,What is the QuickBooks support phone number?,What is the quickbooks customer support phone number USA?
193733,What we want to do to avoid pimples?,How do I stop pimples?
71013,Why would you drink a mint tea?,What are the benefits of drinking mint green tea?
292977,What does it mean when your period is three days late?,Why is my period one day late?
278415,Why would someone use Quora when they can Google instead?,Why should we use Quora when we can Google everything?
362606,How do I reduce belly fat that I had since young?,How can I reduce belly fat and overall weight?
53594,Can You tell me a chest workout to build muscles at home?,Would you tell me one exemplary workout routine for chest that includes all chest parts?
192291,What is frozen shoulder? How one can cure frozen shoulder naturally?,How do I treat a frozen shoulder?
349900,What's your favorite smell?,What are some favorite smells?
211575,Can we defeat terrorism?,How can we defeat terrorism?
112693,"Why do all the programming languages use ""Hello World"" as the first program?","Why is the ""Hello world"" program used as an introduction to any programming language?"
76339,What are some amazing things about ants?,What are some lesser known facts about ants?
239044,Can I upgrade my laptop CPU?,Can I upgrade my laptop's cpu?
312949,What is the best part about being a woman?,What is the best thing about being a woman?
241148,How do I improve myself in programming? Am in Intermediate stage of programming.,What should I do to improve my programming?
31637,When is Tesla launching its cars in India?,When will Tesla be launched in India?
353586,What is the easy way to make money online?,How do we make money online?
102103,What are some of the weirdest dreams you've ever had?,Which is the weirdest dream youâ€™ve ever had?
358557,How is Trump's win going to affect Canada?,What impact will Trump's presidency have on Canada?
380574,What are some possible explanations for spontaneous human combustion?,How does spontaneous human combustion occur?
372136,What country should I visit and why?,Why should I visit your country?
21710,How does diet affect hair health?,"How does diet affect hair (appearance, color, loss, etc)?"
262028,Why did people around the world start hating Islam?,Why do some people dislike Islam?
394466,What are some songs you must listen to?,What is the best song that one must listen to?
275727,How can you incorporate your startup in the US if you are not a legal permanent resident or US citizen?,How do you incorporate in US as a non-resident?
97351,How do I know if I'm blacklisted in Malaysia?,How do I know if someone is blacklisted in Malaysia?
446,When is it too late to learn the piano?,I'm almost 40. Is it too late for me to learn piano?
321546,Where does I lodge a complaint against a Rajasthan roadways bus driver?,Where should I lodge a complaint against a Rajasthan roadways bus driver?
293070,What's your stand on the recent Supreme Court's order about national anthem in cinema halls?,What do you think of SC's order of playing national anthem in cinema hall?
86586,How winning money from YouTube?,How can I make money fast from Youtube?
213881,How do I block certain people on Quora?,How do you block people on Quora?
103837,How did Katrina Kaif manage to make it so big in Bollywood despite her not so great acting abilities?,Why is Katrina Kaif so popular despite her bad acting?
202856,How can I make my study more effective?,How can I study efficiently?
262196,What are good books on hacking websites?,What are the best books to learn hacking websites?
331226,Will WW3 happen at some point in 2017?,Is WW3 coming?
397379,What are the best affiliate programs?,What is the best affiliate program?
357315,What should I do if I lost my high school diploma?,How can I recover my lost high school diploma?
235094,How does Hillary Clinton plan to tackle campaign finance reform?,How does Hillary Clinton plan to address campaign finance reform?
104164,How do you think about Peter Thiel's speech at RNC 2016?,What did you think of Peter Thiel's RNC speech?
93949,"How do I get my ""groundbreaking"" app idea noticed and also get funding to develop it?","I have an idea for a start up, I need funding for that, how can I get the investors?"
